sess_num;sess_type;n_trials;seq_keys;seq_type;sequence_string;seq_train;seq_color;combination;seq_order;paced;instruct;run;block
18;fmri;2;1 2 3 4;type1;1 2 - 3 - 1 2 3 4 - 4 - 1 3;untrained;#46f0f0;[('trained', 2), ('untrained', 0), ('untrained', 1), ('trained', 1)];5;1;0;2;2
18;fmri;2;1 2 3 4;type1;1 3 - 4 - 1 2 3 4 - 1 - 3 4;untrained;#0082c8;[('trained', 2), ('untrained', 0), ('untrained', 1), ('trained', 1)];5;1;0;2;2
18;fmri;2;1 2 3 4;type1;1 3 - 2 - 3 4 - 1 2 3 - 1 4;trained;#f032e6;[('trained', 2), ('untrained', 0), ('untrained', 1), ('trained', 1)];5;1;0;2;2
18;fmri;3;1 2 3 4;type1;1 4 - 2 3 4 - 1 2 - 4 - 2 3;trained;#f58231;[('trained', 2), ('untrained', 0), ('trained', 1), ('untrained', 1)];5;1;0;2;3
18;fmri;3;1 2 3 4;type1;1 2 - 3 - 1 2 3 4 - 4 - 1 3;untrained;#46f0f0;[('trained', 2), ('untrained', 0), ('trained', 1), ('untrained', 1)];5;1;0;2;3
18;fmri;3;1 2 3 4;type1;1 3 - 2 - 3 4 - 1 2 3 - 1 4;trained;#f032e6;[('trained', 2), ('untrained', 0), ('trained', 1), ('untrained', 1)];5;1;0;2;3
18;fmri;3;1 2 3 4;type1;1 3 - 4 - 1 2 3 4 - 1 - 3 4;untrained;#0082c8;[('trained', 2), ('untrained', 0), ('trained', 1), ('untrained', 1)];5;1;0;2;3
18;fmri;2;1 2 3 4;type1;1 4 - 2 3 4 - 1 2 - 4 - 2 3;trained;#f58231;[('trained', 2), ('trained', 1), ('untrained', 1), ('untrained', 0)];5;1;1;3;1
18;fmri;2;1 2 3 4;type1;1 3 - 2 - 3 4 - 1 2 3 - 1 4;trained;#f032e6;[('trained', 2), ('trained', 1), ('untrained', 1), ('untrained', 0)];5;1;0;3;1
18;fmri;2;1 2 3 4;type1;1 3 - 4 - 1 2 3 4 - 1 - 3 4;untrained;#0082c8;[('trained', 2), ('trained', 1), ('untrained', 1), ('untrained', 0)];5;1;0;3;1
18;fmri;2;1 2 3 4;type1;1 2 - 3 - 1 2 3 4 - 4 - 1 3;untrained;#46f0f0;[('trained', 2), ('trained', 1), ('untrained', 1), ('untrained', 0)];5;1;0;3;1
18;fmri;2;1 2 3 4;type1;1 2 - 3 - 1 2 3 4 - 4 - 1 3;untrained;#46f0f0;[('untrained', 0), ('trained', 1), ('untrained', 1), ('trained', 2)];5;1;0;3;2
18;fmri;2;1 2 3 4;type1;1 3 - 2 - 3 4 - 1 2 3 - 1 4;trained;#f032e6;[('untrained', 0), ('trained', 1), ('untrained', 1), ('trained', 2)];5;1;0;3;2
18;fmri;2;1 2 3 4;type1;1 3 - 4 - 1 2 3 4 - 1 - 3 4;untrained;#0082c8;[('untrained', 0), ('trained', 1), ('untrained', 1), ('trained', 2)];5;1;0;3;2
18;fmri;2;1 2 3 4;type1;1 4 - 2 3 4 - 1 2 - 4 - 2 3;trained;#f58231;[('untrained', 0), ('trained', 1), ('untrained', 1), ('trained', 2)];5;1;0;3;2
18;fmri;3;1 2 3 4;type1;1 2 - 3 - 1 2 3 4 - 4 - 1 3;untrained;#46f0f0;[('untrained', 0), ('trained', 1), ('untrained', 1), ('trained', 2)];5;1;0;3;3
