sess_num;sess_type;n_trials;seq_keys;seq_type;sequence_string;seq_train;seq_color;seq_permutation;seq_order;paced;instruct;run
5;training;5;1 2 3 4;type1;2 3 4 - 1 4 - 3 - 1 2 - 1 3 4;trained;#3cb44b;[2, 0, 1];0;1;0;1
5;training;5;1 2 3 4;type1;1 3 4 - 2 3 - 4 - 1 2 - 3;trained;#0082c8;[2, 0, 1];1;1;0;1
6;training;20;1 2 3 4;type1;1 2 4 - 2 3 - 1 3 4 - 1 2 - 2 3 4;trained;#f032e6;[2, 1, 0];2;0;1;1
6;training;20;1 2 3 4;type1;1 3 4 - 2 3 - 4 - 1 2 - 3;trained;#0082c8;[2, 1, 0];1;0;0;1
6;training;20;1 2 3 4;type1;2 3 4 - 1 4 - 3 - 1 2 - 1 3 4;trained;#3cb44b;[2, 1, 0];0;0;0;1
6;training;5;1 2 3 4;type1;2 3 4 - 1 4 - 3 - 1 2 - 1 3 4;trained;#3cb44b;[0, 1, 2];0;1;1;1
6;training;5;1 2 3 4;type1;1 3 4 - 2 3 - 4 - 1 2 - 3;trained;#0082c8;[0, 1, 2];1;1;0;1
6;training;5;1 2 3 4;type1;1 2 4 - 2 3 - 1 3 4 - 1 2 - 2 3 4;trained;#f032e6;[0, 1, 2];2;1;0;1
7;testing;20;1 2 3 4;type1;2 3 4 - 1 4 - 3 - 1 2 - 1 3 4;trained;#3cb44b;[0, 2, 1];0;0;1;1
7;testing;20;1 2 3 4;type1;2 3 4 - 1 3 - 2 - 3 4 - 1 2 3;untrained;#ffe119;[0, 2, 1];3;0;0;1
7;testing;20;1 2 3 4;type1;1 2 4 - 2 3 - 1 3 4 - 1 2 - 2 3 4;trained;#f032e6;[0, 2, 1];2;0;0;1
7;testing;20;1 2 3 4;type1;1 2 3 - 3 4 - 1 - 2 4 - 1 3 4;untrained;#f58231;[0, 2, 1];5;0;0;1
7;testing;20;1 2 3 4;type1;1 3 4 - 2 3 - 4 - 1 2 - 3;trained;#0082c8;[0, 2, 1];1;0;0;1
7;testing;20;1 2 3 4;type1;1 2 3 - 2 4 - 1 - 3 4 - 1 2 4;untrained;#111111;[0, 2, 1];4;0;0;1
