sess_num;sess_date;sess_time;seq_type;sess_type;seq_train;true_sequence;obs_sequence;accuracy;score;cumulative_trial;trial;trial_type;keystroke;key_from;key_to;RT
1;2018-03-06;11:11:04.964000;type1;training;train;1 3 4 - 1 - 1 2 - 1 3 - 2 3;1 3 4 - 1 - 1 2 - 1 3 - 2 3;1.0;0.76948969245488752;14;9;done;0;0;1 3 4;463.710
1;2018-03-06;11:11:04.964000;type1;training;train;1 3 4 - 1 - 1 2 - 1 3 - 2 3;1 3 4 - 1 - 1 2 - 1 3 - 2 3;1.0;0.76948969245488752;14;9;done;1;1 3 4;1;340.884
1;2018-03-06;11:11:04.964000;type1;training;train;1 3 4 - 1 - 1 2 - 1 3 - 2 3;1 3 4 - 1 - 1 2 - 1 3 - 2 3;1.0;0.76948969245488752;14;9;done;2;1;1 2;320.570
1;2018-03-06;11:11:04.964000;type1;training;train;1 3 4 - 1 - 1 2 - 1 3 - 2 3;1 3 4 - 1 - 1 2 - 1 3 - 2 3;1.0;0.76948969245488752;14;9;done;3;1 2;1 3;321.661
1;2018-03-06;11:11:04.964000;type1;training;train;1 3 4 - 1 - 1 2 - 1 3 - 2 3;1 3 4 - 1 - 1 2 - 1 3 - 2 3;1.0;0.76948969245488752;14;9;done;4;1 3;2 3;316.448
1;2018-03-06;11:11:04.964000;type1;training;train;1 3 4 - 1 - 1 2 - 1 3 - 2 3;1 4 - 1 - 1 2 - 1 3 - 2 3;0.80000000000000004;0;15;9;done;0;0;1 4;370.235
1;2018-03-06;11:11:04.964000;type1;training;train;1 3 4 - 1 - 1 2 - 1 3 - 2 3;1 4 - 1 - 1 2 - 1 3 - 2 3;0.80000000000000004;0;15;9;done;1;1 4;1;400.078
1;2018-03-06;11:11:04.964000;type1;training;train;1 3 4 - 1 - 1 2 - 1 3 - 2 3;1 4 - 1 - 1 2 - 1 3 - 2 3;0.80000000000000004;0;15;9;done;2;1;1 2;768.985
1;2018-03-06;11:11:04.964000;type1;training;train;1 3 4 - 1 - 1 2 - 1 3 - 2 3;1 4 - 1 - 1 2 - 1 3 - 2 3;0.80000000000000004;0;15;9;done;3;1 2;1 3;420.492
1;2018-03-06;11:11:04.964000;type1;training;train;1 3 4 - 1 - 1 2 - 1 3 - 2 3;1 4 - 1 - 1 2 - 1 3 - 2 3;0.80000000000000004;0;15;9;done;4;1 3;2 3;374.717
1;2018-03-06;11:11:04.964000;type1;training;train;1 3 4 - 1 - 1 2 - 1 3 - 2 3;1 3 4 - 1 - 1 - 1 3 - 2 3;0.80000000000000004;0;16;9;done;0;0;1 3 4;333.766
1;2018-03-06;11:11:04.964000;type1;training;train;1 3 4 - 1 - 1 2 - 1 3 - 2 3;1 3 4 - 1 - 1 - 1 3 - 2 3;0.80000000000000004;0;16;9;done;1;1 3 4;1;354.798
1;2018-03-06;11:11:04.964000;type1;training;train;1 3 4 - 1 - 1 2 - 1 3 - 2 3;1 3 4 - 1 - 1 - 1 3 - 2 3;0.80000000000000004;0;16;9;done;2;1;1;381.683
1;2018-03-06;11:11:04.964000;type1;training;train;1 3 4 - 1 - 1 2 - 1 3 - 2 3;1 3 4 - 1 - 1 - 1 3 - 2 3;0.80000000000000004;0;16;9;done;3;1;1 3;339.955
1;2018-03-06;11:11:04.964000;type1;training;train;1 3 4 - 1 - 1 2 - 1 3 - 2 3;1 3 4 - 1 - 1 - 1 3 - 2 3;0.80000000000000004;0;16;9;done;4;1 3;2 3;336.614
1;2018-03-06;11:11:04.964000;type1;training;train;1 3 4 - 1 - 1 2 - 1 3 - 2 3;1 3 4 - 1 - 1 2 - 1 3 - 2 3;1.0;0.68935458290772156;17;10;done;0;0;1 3 4;395.557
