sess_num;sess_date;sess_time;seq_type;sess_type;seq_train;cumulative_trial;trial;trial_type;true_sequence;obs_sequence;accuracy;RT;MT;score
;;;;;;;;;;;;;;
2;2018-03-04;17:36:25.953000;type1;training;train;4;2;done;1 3 4 - 1 - 1 2 - 1 3 - 2 3;1 3 4 - 1 - 1 2 - 1 3 - 2 3;1;693.331;2454.071;0.407
;;;;;;;;;;;;;;
2;2018-03-04;17:36:25.953000;type1;training;train;5;3;done;1 3 4 - 1 - 1 2 - 1 3 - 2 3;1 3 4 - 1 - 1 2 - 1 3 - 2 3;1;663.013;2412.877;0.414
;;;;;;;;;;;;;;
2;2018-03-04;17:36:25.953000;type1;training;train;6;3;done;1 3 4 - 1 - 1 2 - 1 3 - 2 3;1 4 - 1 - 1 2 - 1 2 3 - 2 3;0.6;691.84;2740.305;0.365
;;;;;;;;;;;;;;
2;2018-03-04;17:36:25.953000;type1;training;train;7;4;done;1 3 4 - 1 - 1 2 - 1 3 - 2 3;1 3 4 - 1 - 1 2 - 1 3 - 2 3;1;1809.147;1650.682;0.606
;;;;;;;;;;;;;;
2;2018-03-04;17:36:25.953000;type1;training;train;8;5;done;1 3 4 - 1 - 1 2 - 1 3 - 2 3;1 3 4 - 1 - 1 2 - 1 3 - 2 3;1;782.269;1752.993;0.57
;;;;;;;;;;;;;;
2;2018-03-04;17:36:25.953000;type1;training;train;9;5;done;1 3 4 - 1 - 1 2 - 1 3 - 2 3;1 1 1 1 2 2 3 3 3 4 - 1 4 - 1 - 1 - 3;0;-199.049;3131.687;0.319
;;;;;;;;;;;;;;
2;2018-03-04;17:36:25.953000;type1;training;train;10;5;done;1 3 4 - 1 - 1 2 - 1 3 - 2 3;1 3 4 - 1 1 2 - 1 3 - 3 - 2;0.2;-199.715;262.557;3.809
;;;;;;;;;;;;;;
2;2018-03-04;17:36:25.953000;type1;training;train;11;6;done;1 3 4 - 1 - 1 2 - 1 3 - 2 3;1 3 4 - 1 - 1 2 - 1 3 - 2 3;1;740.972;1534.622;0.652
;;;;;;;;;;;;;;
2;2018-03-04;17:36:25.953000;type1;training;train;12;6;done;1 3 4 - 1 - 1 2 - 1 3 - 2 3;1 3 4 - 1 - 1 2 - 1 2 3 - 2 3;0.8;805.447;1582.399;0.632
;;;;;;;;;;;;;;
2;2018-03-04;17:36:25.953000;type1;training;train;13;7;done;1 3 4 - 1 - 1 2 - 1 3 - 2 3;1 3 4 - 1 - 1 2 - 1 3 - 2 3;1;854.483;1631.887;0.613
;;;;;;;;;;;;;;
2;2018-03-04;17:36:25.953000;type1;training;train;14;8;done;1 3 4 - 1 - 1 2 - 1 3 - 2 3;1 3 4 - 1 - 1 2 - 1 3 - 2 3;1;893.838;1836.492;0.545
;;;;;;;;;;;;;;
2;2018-03-04;17:36:25.953000;type1;training;train;15;8;done;1 3 4 - 1 - 1 2 - 1 3 - 2 3;1 3 4 - 1 - 1 - 2 - 2 3;0.6;1185.646;1531.075;0.653
;;;;;;;;;;;;;;
2;2018-03-04;17:36:25.953000;type1;training;train;16;9;done;1 3 4 - 1 - 1 2 - 1 3 - 2 3;1 3 4 - 1 - 1 2 - 1 3 - 2 3;1;1197.824;1534.495;0.652
;;;;;;;;;;;;;;
2;2018-03-04;17:36:25.953000;type1;training;train;17;10;done;1 3 4 - 1 - 1 2 - 1 3 - 2 3;1 3 4 - 1 - 1 2 - 1 3 - 2 3;1;1320.074;1694.705;0.59
;;;;;;;;;;;;;;
2;2018-03-04;17:36:25.953000;type1;training;train;18;10;done;1 3 4 - 1 - 1 2 - 1 3 - 2 3;4 - 1 3 - 1 - 1 - 3;0;1044.983;1657.142;0.603
;;;;;;;;;;;;;;
