sess_num;sess_date;sess_time;seq_type;sess_type;seq_train;sequence;cumulative_trial;trial;keystroke;key_from;key_to;RT
1;2018-03-02;15:58:23.486000;type1;training;train;2 - 4 - 4 - 2 3 - 1 4;5;2;0;0;2;1000.225
1;2018-03-02;15:58:23.486000;type1;training;train;2 - 4 - 4 - 2 3 - 1 4;5;2;1;2;4;831.654
1;2018-03-02;15:58:23.486000;type1;training;train;2 - 4 - 4 - 2 3 - 1 4;5;2;2;4;4;394.805
1;2018-03-02;15:58:23.486000;type1;training;train;2 - 4 - 4 - 2 3 - 1 4;5;2;3;4;2 3;535.189
1;2018-03-02;15:58:23.486000;type1;training;train;2 - 4 - 4 - 2 3 - 1 4;5;2;4;2 3;1 4;474.492
1;2018-03-02;15:58:23.486000;type1;training;train;2 - 4 - 4 - 2 3 - 1 4;6;3;0;0;2;1191.904
1;2018-03-02;15:58:23.486000;type1;training;train;2 - 4 - 4 - 2 3 - 1 4;6;3;1;2;1 4;672.805
1;2018-03-02;15:58:23.486000;type1;training;train;2 - 4 - 4 - 2 3 - 1 4;6;3;2;1 4;4;646.952
1;2018-03-02;15:58:23.486000;type1;training;train;2 - 4 - 4 - 2 3 - 1 4;6;3;3;4;2 3;713.266
1;2018-03-02;15:58:23.486000;type1;training;train;2 - 4 - 4 - 2 3 - 1 4;6;3;4;2 3;1 4;633.114
1;2018-03-02;15:58:23.486000;type1;training;train;2 - 4 - 4 - 2 3 - 1 4;7;3;0;0;2;998.302
1;2018-03-02;15:58:23.486000;type1;training;train;2 - 4 - 4 - 2 3 - 1 4;7;3;1;2;4;795.589
1;2018-03-02;15:58:23.486000;type1;training;train;2 - 4 - 4 - 2 3 - 1 4;7;3;2;4;4;599.013
1;2018-03-02;15:58:23.486000;type1;training;train;2 - 4 - 4 - 2 3 - 1 4;7;3;3;4;2 3;810.468
1;2018-03-02;15:58:23.486000;type1;training;train;2 - 4 - 4 - 2 3 - 1 4;7;3;4;2 3;1 4;561.548
1;2018-03-02;15:58:23.486000;type1;training;train;2 - 4 - 4 - 2 3 - 1 4;8;4;0;0;2;1040.761
1;2018-03-02;15:58:23.486000;type1;training;train;2 - 4 - 4 - 2 3 - 1 4;8;4;1;2;4;747.904
1;2018-03-02;15:58:23.486000;type1;training;train;2 - 4 - 4 - 2 3 - 1 4;8;4;2;4;4;520.461
1;2018-03-02;15:58:23.486000;type1;training;train;2 - 4 - 4 - 2 3 - 1 4;8;4;3;4;2 3;678.810
1;2018-03-02;15:58:23.486000;type1;training;train;2 - 4 - 4 - 2 3 - 1 4;8;4;4;2 3;1 4;550.028
1;2018-03-02;15:58:23.486000;type1;training;train;2 - 4 - 4 - 2 3 - 1 4;9;5;0;0;2;973.713
1;2018-03-02;15:58:23.486000;type1;training;train;2 - 4 - 4 - 2 3 - 1 4;9;5;1;2;4;601.208
1;2018-03-02;15:58:23.486000;type1;training;train;2 - 4 - 4 - 2 3 - 1 4;9;5;2;4;4;444.377
1;2018-03-02;15:58:23.486000;type1;training;train;2 - 4 - 4 - 2 3 - 1 4;9;5;3;4;2 3;493.138
1;2018-03-02;15:58:23.486000;type1;training;train;2 - 4 - 4 - 2 3 - 1 4;9;5;4;2 3;1 4;413.645
1;2018-03-02;15:58:23.486000;type1;training;train;3 4 - 1 3 - 3 4 - 2 - 2;1;1;0;0;4;1378.322
1;2018-03-02;15:58:23.486000;type1;training;train;3 4 - 1 3 - 3 4 - 2 - 2;1;1;1;4;3;9.749
1;2018-03-02;15:58:23.486000;type1;training;train;3 4 - 1 3 - 3 4 - 2 - 2;1;1;2;3;3;2107.735
1;2018-03-02;15:58:23.486000;type1;training;train;3 4 - 1 3 - 3 4 - 2 - 2;1;1;3;3;1;46.684
1;2018-03-02;15:58:23.486000;type1;training;train;3 4 - 1 3 - 3 4 - 2 - 2;2;1;0;0;3 4;1202.578
1;2018-03-02;15:58:23.486000;type1;training;train;3 4 - 1 3 - 3 4 - 2 - 2;2;1;1;3 4;2;938.304
1;2018-03-02;15:58:23.486000;type1;training;train;3 4 - 1 3 - 3 4 - 2 - 2;2;1;2;2;3;114.997
1;2018-03-02;15:58:23.486000;type1;training;train;3 4 - 1 3 - 3 4 - 2 - 2;2;1;3;3;1;863.057
1;2018-03-02;15:58:23.486000;type1;training;train;3 4 - 1 3 - 3 4 - 2 - 2;2;1;4;1;3;10.104
1;2018-03-02;15:58:23.486000;type1;training;train;3 4 - 1 3 - 3 4 - 2 - 2;3;1;0;0;3 4;1213.052
1;2018-03-02;15:58:23.486000;type1;training;train;3 4 - 1 3 - 3 4 - 2 - 2;3;1;1;3 4;3;1478.727
1;2018-03-02;15:58:23.486000;type1;training;train;3 4 - 1 3 - 3 4 - 2 - 2;3;1;2;3;1;116.598
1;2018-03-02;15:58:23.486000;type1;training;train;3 4 - 1 3 - 3 4 - 2 - 2;3;1;3;1;4;1181.742
1;2018-03-02;15:58:23.486000;type1;training;train;3 4 - 1 3 - 3 4 - 2 - 2;3;1;4;4;3;9.833
1;2018-03-02;15:58:23.486000;type1;training;train;3 4 - 1 3 - 3 4 - 2 - 2;4;1;0;0;3 4;972.305
1;2018-03-02;15:58:23.486000;type1;training;train;3 4 - 1 3 - 3 4 - 2 - 2;4;1;1;3 4;3;1376.223
1;2018-03-02;15:58:23.486000;type1;training;train;3 4 - 1 3 - 3 4 - 2 - 2;4;1;2;3;1;39.051
1;2018-03-02;15:58:23.486000;type1;training;train;3 4 - 1 3 - 3 4 - 2 - 2;4;1;3;1;3 4;1014.689
1;2018-03-02;15:58:23.486000;type1;training;train;3 4 - 1 3 - 3 4 - 2 - 2;4;1;4;3 4;2;542.033
1;2018-03-02;15:58:23.486000;type1;training;train;3 4 - 1 3 - 3 4 - 2 - 2;5;1;0;0;3 4;847.991
1;2018-03-02;15:58:23.486000;type1;training;train;3 4 - 1 3 - 3 4 - 2 - 2;5;1;1;3 4;1 3;1194.675
1;2018-03-02;15:58:23.486000;type1;training;train;3 4 - 1 3 - 3 4 - 2 - 2;5;1;2;1 3;3 4;959.051
1;2018-03-02;15:58:23.486000;type1;training;train;3 4 - 1 3 - 3 4 - 2 - 2;5;1;3;3 4;2;506.798
1;2018-03-02;15:58:23.486000;type1;training;train;3 4 - 1 3 - 3 4 - 2 - 2;5;1;4;2;2;277.019
1;2018-03-02;15:58:23.486000;type1;training;train;3 4 - 1 3 - 3 4 - 2 - 2;6;2;0;0;3 4;1064.969
1;2018-03-02;15:58:23.486000;type1;training;train;3 4 - 1 3 - 3 4 - 2 - 2;6;2;1;3 4;1 3;918.126
1;2018-03-02;15:58:23.486000;type1;training;train;3 4 - 1 3 - 3 4 - 2 - 2;6;2;2;1 3;4;1340.136
1;2018-03-02;15:58:23.486000;type1;training;train;3 4 - 1 3 - 3 4 - 2 - 2;6;2;3;4;2;11.728
1;2018-03-02;15:58:23.486000;type1;training;train;3 4 - 1 3 - 3 4 - 2 - 2;6;2;4;2;3;536.583
1;2018-03-02;15:58:23.486000;type1;training;train;3 4 - 1 3 - 3 4 - 2 - 2;7;2;0;0;3 4;807.029
1;2018-03-02;15:58:23.486000;type1;training;train;3 4 - 1 3 - 3 4 - 2 - 2;7;2;1;3 4;2;1457.729
1;2018-03-02;15:58:23.486000;type1;training;train;3 4 - 1 3 - 3 4 - 2 - 2;7;2;2;2;2 3;494.703
1;2018-03-02;15:58:23.486000;type1;training;train;3 4 - 1 3 - 3 4 - 2 - 2;7;2;3;2 3;2;883.912
1;2018-03-02;15:58:23.486000;type1;training;train;3 4 - 1 3 - 3 4 - 2 - 2;7;2;4;2;4;16.504
1;2018-03-02;15:58:23.486000;type1;training;train;3 4 - 1 3 - 3 4 - 2 - 2;8;2;0;0;3 4;877.502
1;2018-03-02;15:58:23.486000;type1;training;train;3 4 - 1 3 - 3 4 - 2 - 2;8;2;1;3 4;1 3;1250.587
1;2018-03-02;15:58:23.486000;type1;training;train;3 4 - 1 3 - 3 4 - 2 - 2;8;2;2;1 3;3 4;1075.823
1;2018-03-02;15:58:23.486000;type1;training;train;3 4 - 1 3 - 3 4 - 2 - 2;8;2;3;3 4;2;519.161
1;2018-03-02;15:58:23.486000;type1;training;train;3 4 - 1 3 - 3 4 - 2 - 2;8;2;4;2;2;250.830
1;2018-03-02;15:58:23.486000;type1;training;train;3 4 - 1 3 - 3 4 - 2 - 2;9;3;0;0;3 4;1128.117
1;2018-03-02;15:58:23.486000;type1;training;train;3 4 - 1 3 - 3 4 - 2 - 2;9;3;1;3 4;1 3;951.585
1;2018-03-02;15:58:23.486000;type1;training;train;3 4 - 1 3 - 3 4 - 2 - 2;9;3;2;1 3;3 4;930.143
1;2018-03-02;15:58:23.486000;type1;training;train;3 4 - 1 3 - 3 4 - 2 - 2;9;3;3;3 4;2;228.262
1;2018-03-02;15:58:23.486000;type1;training;train;3 4 - 1 3 - 3 4 - 2 - 2;9;3;4;2;2 2;411.473
1;2018-03-02;15:58:23.486000;type1;training;train;3 4 - 1 3 - 3 4 - 2 - 2;10;3;0;0;3 4;1435.604
