sess_num;sess_date;sess_time;seq_type;sess_type;seq_train;sequence;cumulative_trial;trial;keystroke;key_from;key_to;RT
1;2018-02-28;09:33:54.772000;type1;training;train;3 4 - 1 3 - 3 4 - 2 - 2;2;1;1;4;3;22.992
1;2018-02-28;09:33:54.772000;type1;training;train;3 4 - 1 3 - 3 4 - 2 - 2;2;1;2;3;1;1589.267
1;2018-02-28;09:33:54.772000;type1;training;train;3 4 - 1 3 - 3 4 - 2 - 2;2;1;3;1;3;9.109
1;2018-02-28;09:33:54.772000;type1;training;train;3 4 - 1 3 - 3 4 - 2 - 2;3;1;0;0;3 4;987.601
1;2018-02-28;09:33:54.772000;type1;training;train;3 4 - 1 3 - 3 4 - 2 - 2;3;1;1;3 4;1 3;1003.173
1;2018-02-28;09:33:54.772000;type1;training;train;3 4 - 1 3 - 3 4 - 2 - 2;3;1;2;1 3;3 4;618.656
1;2018-02-28;09:33:54.772000;type1;training;train;3 4 - 1 3 - 3 4 - 2 - 2;3;1;3;3 4;2;427.610
1;2018-02-28;09:33:54.772000;type1;training;train;3 4 - 1 3 - 3 4 - 2 - 2;3;1;4;2;2;413.462
1;2018-02-28;09:33:54.772000;type1;training;train;3 4 - 1 3 - 3 4 - 2 - 2;4;2;0;0;3 4;856.441
1;2018-02-28;09:33:54.772000;type1;training;train;3 4 - 1 3 - 3 4 - 2 - 2;4;2;1;3 4;1 3;633.539
1;2018-02-28;09:33:54.772000;type1;training;train;3 4 - 1 3 - 3 4 - 2 - 2;4;2;2;1 3;3 4;503.837
1;2018-02-28;09:33:54.772000;type1;training;train;3 4 - 1 3 - 3 4 - 2 - 2;4;2;3;3 4;2;398.079
1;2018-02-28;09:33:54.772000;type1;training;train;3 4 - 1 3 - 3 4 - 2 - 2;4;2;4;2;2;292.085
1;2018-02-28;09:33:54.772000;type1;training;train;3 4 - 1 3 - 3 4 - 2 - 2;5;3;0;0;3 4 4;736.085
1;2018-02-28;09:33:54.772000;type1;training;train;3 4 - 1 3 - 3 4 - 2 - 2;5;3;1;3 4 4;1 3;468.775
1;2018-02-28;09:33:54.772000;type1;training;train;3 4 - 1 3 - 3 4 - 2 - 2;5;3;2;1 3;3 4;493.796
1;2018-02-28;09:33:54.772000;type1;training;train;3 4 - 1 3 - 3 4 - 2 - 2;5;3;3;3 4;2;344.024
1;2018-02-28;09:33:54.772000;type1;training;train;3 4 - 1 3 - 3 4 - 2 - 2;5;3;4;2;2;392.699
1;2018-02-28;09:33:54.772000;type1;training;train;3 4 - 1 3 - 3 4 - 2 - 2;6;3;0;0;3 4;701.891
1;2018-02-28;09:33:54.772000;type1;training;train;3 4 - 1 3 - 3 4 - 2 - 2;6;3;1;3 4;1 3;694.118
1;2018-02-28;09:33:54.772000;type1;training;train;3 4 - 1 3 - 3 4 - 2 - 2;6;3;2;1 3;3 4;762.231
