sess_num;sess_date;sess_time;seq_type;sess_type;seq_train;cumulative_trial;trial;true_sequence;obs_sequence;accuracy;RT;MT;score
2;2018-02-28;09:37:52.737000;type1;training;train;4;4;3 4 - 1 3 - 3 4 - 2 - 2;3 4 - 1 3 - 3 4 - 2 - 2;1.0;712.714;1137.378;0.879
2;2018-02-28;09:37:52.737000;type1;training;train;5;5;3 4 - 1 3 - 3 4 - 2 - 2;3 4 - 1 3 - 3 4 - 2 - 2;1.0;609.056;1657.531;0.603
2;2018-02-28;09:37:52.737000;type1;training;train;6;5;3 4 - 1 3 - 3 4 - 2 - 2;3 4 - 1 3 - 2 - 3 4 - 2 2;0.40000000000000002;556.220;1386.290;0.721
2;2018-02-28;09:37:52.737000;type1;training;train;7;6;3 4 - 1 3 - 3 4 - 2 - 2;3 4 - 1 3 - 3 4 - 2 - 2;1.0;721.353;975.802;1.025
3;2018-02-28;21:23:03.784000;type1;training;train;1;1;1 2 - 2 - 2 - 4 - 2 3;1 - 2 - 2 - 2 - 4;0.40000000000000002;1034.553;2345.246;0.426
3;2018-02-28;21:23:03.784000;type1;training;train;2;2;1 2 - 2 - 2 - 4 - 2 3;1 2 - 2 - 2 - 4 - 2 3;1.0;926.756;1856.265;0.539
3;2018-02-28;21:23:03.784000;type1;training;train;3;3;1 2 - 2 - 2 - 4 - 2 3;1 2 - 2 - 2 - 4 - 2 3;1.0;767.291;1182.543;0.846
3;2018-02-28;21:23:03.784000;type1;training;train;4;4;1 2 - 2 - 2 - 4 - 2 3;1 2 - 2 - 2 - 4 - 2 3;1.0;581.570;961.197;1.040
3;2018-02-28;21:23:03.784000;type1;training;train;5;5;1 2 - 2 - 2 - 4 - 2 3;1 2 - 2 - 2 - 4 - 2 3;1.0;814.615;1176.501;0.850
3;2018-02-28;21:23:03.784000;type1;training;train;6;6;1 2 - 2 - 2 - 4 - 2 3;1 2 - 2 - 2 - 4 - 2 3;1.0;858.955;866.076;1.155
3;2018-02-28;21:23:03.784000;type1;training;train;1;1;2 - 1 4 - 2 - 1 - 1 4;2 - 1 4 - 2 - 1 - 2;0.80000000000000004;1877.227;1949.043;0.513
3;2018-02-28;21:23:03.784000;type1;training;train;2;2;2 - 1 4 - 2 - 1 - 1 4;2 - 1 4 - 2 - 1 - 1 4;1.0;941.641;1464.241;0.683
3;2018-02-28;21:23:03.784000;type1;training;train;3;3;2 - 1 4 - 2 - 1 - 1 4;2 - 1 4 - 2 - 1 - 1 4;1.0;551.746;1257.353;0.795
3;2018-02-28;21:23:03.784000;type1;training;train;4;4;2 - 1 4 - 2 - 1 - 1 4;2 - 1 4 - 2 - 1 - 1 4;1.0;885.180;1010.209;0.990
3;2018-02-28;21:23:03.784000;type1;training;train;5;4;2 - 1 4 - 2 - 1 - 1 4;2 - 1 4 - 2 2 - 1 - 1 4;0.80000000000000004;1072.782;1091.483;0.916
3;2018-02-28;21:23:03.784000;type1;training;train;6;5;2 - 1 4 - 2 - 1 - 1 4;2 - 1 4 - 2 - 1 - 1 4;1.0;606.667;935.645;1.069
3;2018-02-28;21:23:03.784000;type1;training;train;7;6;2 - 1 4 - 2 - 1 - 1 4;2 - 1 4 - 2 - 1 - 1 4;1.0;534.677;981.968;1.018
3;2018-02-28;21:23:03.784000;type1;training;train;1;2;2 - 4 - 4 - 2 3 - 1 4;2 - 4 - 4 - 2 3 - 1 4;1.0;1681.437;1127.218;0.887
3;2018-02-28;21:23:03.784000;type1;training;train;2;3;2 - 4 - 4 - 2 3 - 1 4;2 - 4 - 4 - 2 3 - 1 4;1.0;628.204;873.074;1.145
3;2018-02-28;21:23:03.784000;type1;training;train;3;3;2 - 4 - 4 - 2 3 - 1 4;2 - 4 - 4 - 2 2 3 - 1 4 4;0.59999999999999998;641.993;1030.778;0.970
3;2018-02-28;21:23:03.784000;type1;training;train;4;3;2 - 4 - 4 - 2 3 - 1 4;2 - 4 - 4 - 2 3 - 1 2 4;0.80000000000000004;550.201;878.764;1.138
3;2018-02-28;21:23:03.784000;type1;training;train;5;4;2 - 4 - 4 - 2 3 - 1 4;2 - 4 - 4 - 2 3 - 1 4;1.0;582.570;881.793;1.134
3;2018-02-28;21:23:03.784000;type1;training;train;6;4;2 - 4 - 4 - 2 3 - 1 4;2 - 4 - 4 4 - 2 3 - 1 4;0.80000000000000004;552.119;938.291;1.066
3;2018-02-28;21:23:03.784000;type1;training;train;7;5;2 - 4 - 4 - 2 3 - 1 4;2 - 4 - 4 - 2 3 - 1 4;1.0;531.556;847.230;1.180
3;2018-02-28;21:23:03.784000;type1;training;train;8;6;2 - 4 - 4 - 2 3 - 1 4;2 - 4 - 4 - 2 3 - 1 4;1.0;818.549;767.240;1.303
3;2018-02-28;21:23:03.784000;type1;training;train;1;1;3 4 - 1 3 - 3 4 - 2 - 2;4 - 3 - 3 - 1;0.0;2345.450;1497.031;0.668
3;2018-02-28;21:23:03.784000;type1;training;train;2;2;3 4 - 1 3 - 3 4 - 2 - 2;3 4 - 1 3 - 3 4 - 2 - 2;1.0;1689.803;2023.272;0.494
3;2018-02-28;21:23:03.784000;type1;training;train;3;2;3 4 - 1 3 - 3 4 - 2 - 2;3 4 - 1 3 - 3 4 - 2 3 - 2;0.80000000000000004;1065.143;1250.964;0.799
3;2018-02-28;21:23:03.784000;type1;training;train;4;3;3 4 - 1 3 - 3 4 - 2 - 2;3 4 - 1 3 - 3 4 - 2 - 2;1.0;1036.163;1172.825;0.853
3;2018-02-28;21:23:03.784000;type1;training;train;5;4;3 4 - 1 3 - 3 4 - 2 - 2;3 4 - 1 3 - 3 4 - 2 - 2;1.0;817.311;1277.051;0.783
3;2018-02-28;21:23:03.784000;type1;training;train;6;5;3 4 - 1 3 - 3 4 - 2 - 2;3 4 - 1 3 - 3 4 - 2 - 2;1.0;387.845;1141.307;0.876
3;2018-02-28;21:23:03.784000;type1;training;train;7;6;3 4 - 1 3 - 3 4 - 2 - 2;3 4 - 1 3 - 3 4 - 2 - 2;1.0;407.198;1235.652;0.809
4;2018-03-01;10:54:51.369000;type1;training;train;1;2;1 2 - 2 - 2 - 4 - 2 3;1 2 - 2 - 2 - 4 - 2 3;1.0;1571.898;2175.139;0.460
4;2018-03-01;10:54:51.369000;type1;training;train;2;3;1 2 - 2 - 2 - 4 - 2 3;1 2 - 2 - 2 - 4 - 2 3;1.0;998.153;1191.877;0.839
4;2018-03-01;10:54:51.369000;type1;training;train;3;4;1 2 - 2 - 2 - 4 - 2 3;1 2 - 2 - 2 - 4 - 2 3;1.0;693.867;845.474;1.183
4;2018-03-01;10:54:51.369000;type1;training;train;4;4;1 2 - 2 - 2 - 4 - 2 3;1 2 - 4 - 4 - 2 - 2;0.20000000000000001;534.499;1223.289;0.817
4;2018-03-01;10:54:51.369000;type1;training;train;5;4;1 2 - 2 - 2 - 4 - 2 3;1 2 - 2 - 2 - 4 4 - 2 3;0.80000000000000004;638.570;1093.492;0.915
4;2018-03-01;10:54:51.369000;type1;training;train;6;4;1 2 - 2 - 2 - 4 - 2 3;1 2 - 2 - 2 - 4 4 - 2 3;0.80000000000000004;583.959;1157.177;0.864
4;2018-03-01;10:54:51.369000;type1;training;train;7;5;1 2 - 2 - 2 - 4 - 2 3;1 2 - 2 - 2 - 4 - 2 3;1.0;545.943;908.532;1.101
4;2018-03-01;10:54:51.369000;type1;training;train;8;6;1 2 - 2 - 2 - 4 - 2 3;1 2 - 2 - 2 - 4 - 2 3;1.0;463.703;795.434;1.257
4;2018-03-01;10:54:51.369000;type1;training;train;1;2;2 - 1 4 - 2 - 1 - 1 4;2 - 1 4 - 2 - 1 - 1 4;1.0;1525.486;1474.300;0.678
4;2018-03-01;10:54:51.369000;type1;training;train;2;3;2 - 1 4 - 2 - 1 - 1 4;2 - 1 4 - 2 - 1 - 1 4;1.0;722.186;985.223;1.015
4;2018-03-01;10:54:51.369000;type1;training;train;3;4;2 - 1 4 - 2 - 1 - 1 4;2 - 1 4 - 2 - 1 - 1 4;1.0;642.337;877.877;1.139
4;2018-03-01;10:54:51.369000;type1;training;train;4;5;2 - 1 4 - 2 - 1 - 1 4;2 - 1 4 - 2 - 1 - 1 4;1.0;578.033;940.007;1.064
4;2018-03-01;10:54:51.369000;type1;training;train;5;6;2 - 1 4 - 2 - 1 - 1 4;2 - 1 4 - 2 - 1 - 1 4;1.0;484.428;939.539;1.064
4;2018-03-01;10:54:51.369000;type1;training;train;1;2;2 - 4 - 4 - 2 3 - 1 4;2 - 4 - 4 - 2 3 - 1 4;1.0;1373.893;871.054;1.148
4;2018-03-01;10:54:51.369000;type1;training;train;2;3;2 - 4 - 4 - 2 3 - 1 4;2 - 4 - 4 - 2 3 - 1 4;1.0;824.284;777.269;1.287
